date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,247540,에코프로비엠,20.02,15.33,76.57,9137362535600,135900.0,78819.0,25.54,-18.8532,-34.2562
2023-02-01,247540,에코프로비엠,23.4,17.92,76.58,10683083392800,135900.0,78819.0,53.22,18.5668,-5.3454
2023-03-02,247540,에코프로비엠,34.23,26.21,76.57,15623520309800,166800.0,79659.0,91.85,60.02,340.3549
2023-04-03,247540,에코프로비엠,80.53,15.25,18.94,22696660688000,235000.0,88100.0,97.96,27.4025,4.3194
2023-05-02,247540,에코프로비엠,92.68,17.55,18.94,26120725878000,296000.0,88100.0,86.05,18.931,-14.4745
2023-06-01,247540,에코프로비엠,86.6,16.4,18.94,24408693283000,296000.0,88100.0,77.63,-6.5543,-63.3416
2023-07-03,247540,에코프로비엠,91.46,17.32,18.94,25778319359000,296000.0,88100.0,84.37,5.6112,-6.8715
2023-08-01,247540,에코프로비엠,141.79,26.85,18.94,39963732289000,462000.0,88100.0,85.69,55.0285,199.7045
2023-09-01,247540,에코프로비엠,107.08,20.28,18.94,30180688889000,462000.0,88100.0,58.95,-18.9225,-69.4299
2023-10-04,247540,에코프로비엠,81.57,15.45,18.94,22990151990000,462000.0,88100.0,39.29,-27.5809,-26.7106
2023-11-01,247540,에코프로비엠,65.46,12.4,18.94,18450819852400,462000.0,92100.0,26.09,-25.8939,16.3017
2023-12-01,247540,에코프로비엠,97.19,18.41,18.94,27392521520000,462000.0,92100.0,50.8,29.0323,41.7725
2024-01-02,247540,에코프로비엠,98.4,18.64,18.94,27734928039000,462000.0,92100.0,51.74,5.1948,1.7882
2024-02-01,247540,에코프로비엠,79.14,14.99,18.94,22305338952000,462000.0,99800.0,35.39,-16.0221,5.0891
2024-03-04,247540,에코프로비엠,93.72,17.75,18.94,26414217180000,462000.0,155200.0,37.42,22.7273,-7.6523
2024-04-01,247540,에코프로비엠,,16.55,,26463132397000,462000.0,188600.0,29.96,1.5009,-28.3552
2024-05-02,247540,에코프로비엠,,14.25,,22794491122000,462000.0,188600.0,16.24,-13.8632,-21.3666
2024-06-03,247540,에코프로비엠,,11.5,,18392121592000,462000.0,185800.0,0.8,-21.174,-3.3869
2024-07-01,247540,에코프로비엠,,11.53,,18441036809000,462000.0,178000.0,3.7,1.4532,26.373
2024-08-01,247540,에코프로비엠,,11.32,,18108413333400,462000.0,174000.0,3.85,-3.089,-11.8551
2024-09-02,247540,에코프로비엠,,11.12,,17785572901200,344500.0,164900.0,9.41,-1.7828,15.0263
2024-10-02,247540,에코프로비엠,,11.63,,18597565503400,329000.0,148700.0,22.96,15.1423,3.4104
2024-11-01,247540,에코프로비엠,,10.38,,16601824649800,329000.0,148700.0,11.65,-8.0217,-27.2025
2024-12-02,247540,에코프로비엠,,8.41,,13451684675000,329000.0,124500.0,6.36,-18.9747,27.5538
2025-01-02,247540,에코프로비엠,,6.45,,10321110787000,318500.0,105500.0,0.0,-21.9675,-19.8673
2025-02-03,247540,에코프로비엠,,7.28,,11641821646000,292500.0,105500.0,7.22,8.2803,27.4587
2025-03-04,247540,에코프로비엠,,6.84,,10947225564600,292500.0,105500.0,3.42,-14.5802,20.2514
2025-04-01,247540,에코프로비엠,,4.74,,9362372533800,292500.0,95700.0,0.0,-19.5798,-35.48
2025-05-02,247540,에코프로비엠,,5.17,,10223280353000,245500.0,91100.0,8.68,14.4578,-30.7519
2025-06-02,247540,에코프로비엠,,4.4,,8706908626000,222000.0,81200.0,5.54,-13.0859,1.2846
2025-07-01,247540,에코프로비엠,,5.05,,9978704268000,198900.0,81200.0,17.67,13.3333,27.4055
2025-08-01,247540,에코프로비엠,,5.31,,10497205568200,194000.0,81200.0,23.14,1.0358,-4.0031
2025-09-01,247540,에코프로비엠,,5.93,,11729869036600,193000.0,81200.0,34.62,7.9208,38.1204
2025-10-01,247540,에코프로비엠,,5.57,,11015706868400,193000.0,81200.0,28.09,-5.9315,-40.0422
2025-11-03,247540,에코프로비엠,,8.16,,16132238566600,182000.0,81200.0,83.04,43.2667,280.1193
2025-12-01,247540,에코프로비엠,,7.86,,15545255962600,174100.0,81200.0,83.64,-0.6875,-65.7713
