date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,373220,LG에너지솔루션,185.14,4.62,2.5,104364000000000,624000.0,356000.0,33.58,-23.7607,-4.6374
2023-02-01,373220,LG에너지솔루션,216.69,5.4,2.49,122148000000000,624000.0,356000.0,61.94,19.8622,20.1043
2023-03-02,373220,LG에너지솔루션,222.08,5.54,2.49,125190000000000,624000.0,356000.0,66.79,2.6871,-22.5557
2023-04-03,373220,LG에너지솔루션,177.25,7.32,4.13,137124000000000,624000.0,356000.0,85.82,8.9219,19.5707
2023-05-02,373220,LG에너지솔루션,178.77,7.38,4.13,138294000000000,624000.0,356000.0,87.69,1.1986,-8.2242
2023-06-01,373220,LG에너지솔루션,0.0,6.96,,136656000000000,624000.0,356000.0,85.07,0.5164,-40.1655
2023-07-03,373220,LG에너지솔루션,0.0,6.82,,134082000000000,624000.0,356000.0,80.97,-1.8836,44.841
2023-08-01,373220,LG에너지솔루션,0.0,6.63,,130338000000000,624000.0,393500.0,70.93,-2.7923,97.5699
2023-09-01,373220,LG에너지솔루션,0.0,6.1,,122148000000000,624000.0,426500.0,48.35,-4.0441,-46.6282
2023-10-04,373220,LG에너지솔루션,0.0,5.33,,106704000000000,624000.0,426500.0,14.94,-17.5407,-12.6905
2023-11-01,373220,LG에너지솔루션,0.0,4.41,,88335000000000,624000.0,377500.0,0.0,-20.6099,31.5327
2023-12-01,373220,LG에너지솔루션,0.0,4.89,,100269000000000,612000.0,377500.0,21.75,9.4508,-16.0931
2024-01-02,373220,LG에너지솔루션,0.0,4.9,,100503000000000,612000.0,377500.0,22.17,-3.915,-39.6944
2024-02-01,373220,LG에너지솔루션,0.0,4.35,,89271000000000,612000.0,368000.0,5.53,-8.2933,12.2224
2024-03-04,373220,LG에너지솔루션,0.0,4.55,,93249000000000,612000.0,368000.0,12.5,6.2667,-0.5122
2024-04-01,373220,LG에너지솔루션,74.81,4.58,6.12,92547000000000,612000.0,368000.0,11.27,-1.4944,-14.4992
2024-05-02,373220,LG에너지솔루션,73.58,4.51,6.13,91026000000000,612000.0,364500.0,9.9,-1.6435,4.2675
2024-06-03,373220,LG에너지솔루션,,3.75,,77688000000000,612000.0,328000.0,1.41,-14.653,0.7883
2024-07-01,373220,LG에너지솔루션,,3.92,,81198000000000,597000.0,326500.0,7.58,5.7927,12.9195
2024-08-01,373220,LG에너지솔루션,,3.77,,78039000000000,597000.0,321500.0,4.36,-6.8436,1.2829
2024-09-02,373220,LG에너지솔루션,,4.67,,96408000000000,553000.0,321000.0,39.22,23.5382,42.5934
2024-10-02,373220,LG에너지솔루션,,4.63,,95589000000000,507000.0,321000.0,47.04,10.8548,23.8594
2024-11-01,373220,LG에너지솔루션,,4.67,,96525000000000,493500.0,321000.0,53.04,-0.4825,-5.3315
2024-12-02,373220,LG에너지솔루션,,4.53,,91611000000000,454500.0,321000.0,52.81,-5.0909,7.107
2025-01-02,373220,LG에너지솔루션,,4.0,,80964000000000,436500.0,321000.0,21.65,-9.3054,-33.7774
2025-02-03,373220,LG에너지솔루션,,3.89,,78741000000000,436500.0,321000.0,13.42,-2.3222,-10.544
2025-03-04,373220,LG에너지솔루션,,3.84,,77688000000000,436500.0,321000.0,9.52,-5.6818,-7.1635
2025-04-01,373220,LG에너지솔루션,,3.63,,76752000000000,436500.0,321000.0,6.06,-6.8182,28.0389
2025-05-02,373220,LG에너지솔루션,,3.55,,74997000000000,436500.0,314000.0,5.31,-2.5836,-15.4155
2025-06-02,373220,LG에너지솔루션,,3.15,,66573000000000,436500.0,268000.0,9.79,-18.7143,3.7182
2025-07-01,373220,LG에너지솔루션,,3.29,,69615000000000,436500.0,268000.0,17.51,3.2986,-9.9015
2025-08-01,373220,LG에너지솔루션,,4.12,,87282000000000,436500.0,268000.0,62.31,17.1115,49.324
2025-09-01,373220,LG에너지솔루션,,4.16,,81666000000000,436500.0,268000.0,48.07,-8.7582,-48.0239
2025-10-01,373220,LG에너지솔루션,,4.15,,81315000000000,436500.0,268000.0,47.18,-0.7143,7.3758
2025-11-03,373220,LG에너지솔루션,,5.67,,111267000000000,514000.0,268000.0,84.35,36.2464,148.3116
2025-12-01,373220,LG에너지솔루션,,4.71,,96642000000000,514000.0,268000.0,58.94,-12.685,-34.1235
