date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,035420,네이버,,1.17,,28171491439000,384500.0,158500.0,9.29,-4.2667,-40.5808
2023-02-01,035420,네이버,,1.34,,32252041731000,345500.0,158500.0,25.13,15.7746,27.4387
2023-03-02,035420,네이버,,1.35,,32330513852000,345500.0,158500.0,25.4,1.7284,29.4891
2023-04-03,035420,네이버,,1.33,,31106348764400,342500.0,158500.0,21.58,-3.5523,-29.0866
2023-05-02,035420,네이버,,1.29,,30321627554400,290000.0,158500.0,26.39,-4.3564,-0.668
2023-06-01,035420,네이버,,1.37,,32016625368000,290000.0,158500.0,34.6,6.0842,12.452
2023-07-03,035420,네이버,,1.27,,29709545010600,273500.0,158500.0,26.78,-7.2059,-18.262
2023-08-01,035420,네이버,,1.56,,36568008386000,273500.0,158500.0,64.78,23.0851,56.0215
2023-09-01,035420,네이버,,1.44,,33664539909000,240000.0,158500.0,68.71,-5.7143,18.1507
2023-10-04,035420,네이버,,1.28,,30007739070400,234500.0,158500.0,43.03,-12.092,-43.0431
2023-11-01,035420,네이버,,1.26,,29458434223400,234500.0,159500.0,37.6,-6.6169,-14.1292
2023-12-01,035420,네이버,,1.38,,32330513852000,234500.0,177500.0,50.0,7.9665,-13.4165
2024-01-02,035420,네이버,,1.52,,35704815055000,234500.0,177500.0,87.72,9.6386,19.4284
2024-02-01,035420,네이버,,1.36,,31781209005000,234500.0,178300.0,43.06,-8.7838,0.5973
2024-03-04,035420,네이버,,1.28,,30133294464000,234500.0,178300.0,24.38,-8.3532,37.2309
2024-04-01,035420,네이버,29.17,1.26,4.32,30494266220600,234500.0,178300.0,28.47,-0.359,-7.8505
2024-05-02,035420,네이버,28.34,1.22,4.3,29631072889600,234500.0,178300.0,18.68,-2.8307,-22.3809
2024-06-03,035420,네이버,17.84,1.12,6.28,27104270593400,234500.0,170200.0,3.89,-6.3449,21.8203
2024-07-01,035420,네이버,16.83,1.05,6.24,25566217021800,234500.0,162900.0,0.0,-4.4014,-11.2752
2024-08-01,035420,네이버,18.08,1.13,6.25,27465242350000,234500.0,159800.0,20.35,9.5119,8.055
2024-09-02,035420,네이버,16.43,1.08,6.57,26146910717200,231500.0,156100.0,13.93,-4.8,12.0692
2024-10-02,035420,네이버,16.58,1.09,6.57,26398021504400,231500.0,155000.0,17.25,2.6862,-6.8336
2024-11-01,035420,네이버,16.73,1.1,6.58,26633437867400,231500.0,155000.0,19.22,0.1771,-11.6479
2024-12-02,035420,네이버,18.35,1.32,7.19,31938153247000,231500.0,155000.0,63.4,19.9175,72.1149
2025-01-02,035420,네이버,17.48,1.25,7.15,30415794099600,231500.0,155000.0,50.72,-6.1501,-9.8772
2025-02-03,035420,네이버,19.57,1.41,7.2,34056900514000,221500.0,155000.0,93.23,8.5543,-37.0825
2025-03-04,035420,네이버,18.54,1.33,7.17,32252041731000,232000.0,155000.0,65.58,-5.0808,48.4215
2025-04-01,035420,네이버,15.49,1.14,7.36,30870932401400,232000.0,155000.0,54.16,-4.9758,-36.3766
2025-05-02,035420,네이버,15.54,1.15,7.4,30980793370800,232000.0,155000.0,55.06,0.9202,-21.4451
2025-06-02,035420,네이버,15.4,1.08,7.01,29270101133000,232000.0,155000.0,40.91,-5.0891,3.5552
2025-07-01,035420,네이버,21.63,1.52,7.03,41119391404000,290500.0,155000.0,78.97,38.4046,338.3956
2025-08-01,035420,네이버,18.57,1.31,7.05,35312454450000,290500.0,155000.0,51.66,-11.0672,-59.9246
2025-09-01,035420,네이버,16.39,1.25,7.63,33821484151000,290500.0,155000.0,44.65,-8.2979,-14.8558
2025-10-01,035420,네이버,19.36,1.48,7.64,39942309589000,290500.0,159900.0,72.43,13.1111,126.0757
2025-11-03,035420,네이버,20.88,1.6,7.66,43081194429000,290500.0,167800.0,86.96,7.0175,13.6926
2025-12-01,035420,네이버,16.68,1.41,8.45,38137450806000,290500.0,176900.0,58.19,-9.1589,-34.3109
