date,ticker,name,per,pbr,roe,market_cap,high_52w,low_52w,price_position_52w,momentum_1m,volume_change
2023-01-02,005380,현대차,8.27,0.39,4.72,32146969262000,215500.0,151000.0,9.3,-8.4548,-13.6029
2023-02-01,005380,현대차,8.96,0.42,4.69,34808820220000,202000.0,151000.0,37.25,12.5828,12.895
2023-03-02,005380,현대차,9.41,0.44,4.68,36549261231000,202000.0,151000.0,53.92,6.8862,-17.2099
2023-04-03,005380,현대차,6.44,0.41,6.37,37593525837600,202000.0,151000.0,63.92,4.2589,-1.9635
2023-05-02,005380,현대차,7.06,0.45,6.37,41258689849000,202000.0,151000.0,99.02,9.2141,63.1126
2023-06-01,005380,현대차,6.92,0.44,6.36,40439658785000,210000.0,151000.0,78.81,0.0,-23.3574
2023-07-03,005380,현대차,7.31,0.47,6.43,42691994211000,210000.0,151000.0,97.46,5.5696,-15.8501
2023-08-01,005380,현대차,6.99,0.45,6.44,40828698540400,210000.0,151000.0,82.03,-4.3645,18.4947
2023-09-01,005380,현대차,6.57,0.42,6.39,38371605348400,210000.0,151000.0,61.69,-2.6494,-36.967
2023-10-04,005380,현대차,6.69,0.43,6.43,39067781752800,210000.0,151000.0,67.46,1.5974,-13.3593
2023-11-01,005380,현대차,5.97,0.38,6.37,34870247549800,210000.0,151000.0,32.71,-10.6974,34.1592
2023-12-01,005380,현대차,6.41,0.41,6.4,37429719624800,210000.0,151000.0,53.9,6.2791,-27.0842
2024-01-02,005380,현대차,7.03,0.45,6.4,41053932083000,210000.0,151000.0,83.9,8.4957,25.4369
2024-02-01,005380,현대차,7.29,0.47,6.45,42589615328000,210000.0,167000.0,95.35,7.3271,29.051
2024-03-04,005380,현대차,8.96,0.58,6.47,52315609213000,255500.0,169700.0,100.0,34.4737,391.9917
2024-04-01,005380,현대차,4.78,0.46,9.62,46582391765000,255500.0,169700.0,67.37,-9.1816,-55.2819
2024-05-02,005380,현대차,5.23,0.5,9.56,50984683734000,255500.0,169700.0,92.42,9.4505,-1.6173
2024-06-03,005380,현대차,5.56,0.53,9.53,54260807990000,277000.0,169700.0,88.82,5.5777,-15.9484
2024-07-01,005380,현대차,6.01,0.58,9.65,58560721076000,298000.0,169700.0,90.65,11.284,10.8829
2024-08-01,005380,현대차,5.32,0.51,9.59,51906093681000,298000.0,169700.0,65.32,-8.1522,-17.8763
2024-09-02,005380,현대차,5.17,0.49,9.48,50370410436000,298000.0,169700.0,59.47,-2.9586,-5.7204
2024-10-02,005380,현대차,4.98,0.48,9.64,48527590542000,298000.0,169700.0,52.46,-8.4942,-1.1135
2024-11-01,005380,현대차,4.48,0.43,9.6,43715783041000,298000.0,169700.0,34.14,-12.5,-9.5013
2024-12-02,005380,현대차,4.54,0.43,9.47,44227677456000,298000.0,180100.0,30.45,1.171,15.4331
2025-01-02,005380,현대차,4.44,0.43,9.68,43306267509000,298000.0,180100.0,26.63,-3.2037,-26.8403
2025-02-03,005380,현대차,4.24,0.41,9.67,41361068732000,298000.0,180100.0,18.58,-7.1264,30.3765
2025-03-04,005380,현대차,4.0,0.38,9.5,38965402869800,298000.0,190300.0,0.0,-7.6214,1.6622
2025-04-01,005380,현대차,4.19,0.34,8.11,40664892327600,298000.0,190300.0,7.71,2.9016,-4.6162
2025-05-02,005380,현대차,4.0,0.32,8.0,38781120880400,298000.0,177500.0,9.88,-3.515,-2.0789
2025-06-02,005380,현대차,3.88,0.31,7.99,37675428944000,298000.0,177500.0,5.39,-4.5643,-21.9432
2025-07-01,005380,현대차,4.43,0.36,8.13,42999130860000,298000.0,177500.0,26.97,9.9476,43.0856
2025-08-01,005380,현대차,4.43,0.36,8.13,42999130860000,263500.0,177500.0,37.79,-2.0979,11.6289
2025-09-01,005380,현대차,4.65,0.38,8.17,45149087403000,259000.0,177500.0,52.76,3.5211,-47.2482
2025-10-01,005380,현대차,4.55,0.37,8.13,44125298573000,259000.0,177500.0,46.63,-2.0455,11.5996
2025-11-03,005380,현대차,6.15,0.5,8.13,59686888789000,291500.0,177500.0,100.0,35.8974,119.079
2025-12-01,005380,현대차,5.37,0.43,8.01,52110851447000,291500.0,177500.0,67.54,-12.2414,-48.0579
