sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,72,5.168,65.3,1.523,3.136,58.3,1.2
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,13,3.814,61.5,1.02,0.875,46.2,0.306
반도체,cond2,Neutral,18,1.638,50.0,0.583,0.565,44.4,0.233
반도체,cond2,Sell,41,7.147,26.8,2.056,4.982,31.7,1.951
반도체,cond3,Buy,39,6.146,61.5,1.609,3.683,59.0,1.283
반도체,cond3,Neutral,9,3.185,77.8,1.477,2.265,66.7,1.165
반도체,cond3,Sell,24,4.323,33.3,1.4,2.574,45.8,1.044
반도체,cond4,Buy,42,5.261,59.5,1.366,3.295,57.1,1.1
반도체,cond4,Neutral,3,3.384,66.7,1.783,-1.386,33.3,-1.595
반도체,cond4,Sell,27,5.222,25.9,1.874,3.393,37.0,1.644
반도체,cond4_no_reports,Buy,26,5.071,65.4,1.236,2.781,61.5,0.856
반도체,cond4_no_reports,Neutral,2,10.389,100.0,3080.373,2.158,50.0,1.276
반도체,cond4_no_reports,Sell,44,4.988,36.4,1.651,3.391,43.2,1.507
바이오,cond1,Buy,4,10.395,75.0,2.017,9.499,75.0,1.698
바이오,cond1,Neutral,104,4.183,56.7,0.806,2.334,47.1,0.457
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,21,5.108,61.9,0.952,6.459,61.9,1.178
바이오,cond2,Neutral,23,3.539,60.9,1.208,1.432,56.5,0.616
바이오,cond2,Sell,64,4.5,42.2,0.779,1.752,59.4,0.307
바이오,cond3,Buy,37,4.043,59.5,0.959,3.248,56.8,0.721
바이오,cond3,Neutral,16,2.831,56.2,0.983,1.083,43.8,0.47
바이오,cond3,Sell,55,5.122,40.0,0.822,2.603,56.4,0.429
바이오,cond4,Buy,45,4.093,62.2,1.093,2.343,51.1,0.576
바이오,cond4,Neutral,3,2.356,33.3,0.718,5.902,66.7,2.133
바이오,cond4,Sell,59,4.758,44.1,0.768,2.658,55.9,0.447
바이오,cond4_no_reports,Buy,45,3.704,57.8,0.96,2.261,51.1,0.547
바이오,cond4_no_reports,Neutral,1,-5.35,0.0,,-5.393,0.0,
바이오,cond4_no_reports,Sell,62,5.085,38.7,0.846,2.973,53.2,0.514
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,75,0.137,42.7,0.039,-1.918,34.7,-0.654
배터리,cond1,Sell,33,3.112,51.5,0.567,1.845,45.5,0.391
배터리,cond2,Buy,7,-3.47,28.6,-2.426,-2.576,42.9,-1.766
배터리,cond2,Neutral,7,7.102,71.4,1.915,3.458,71.4,1.126
배터리,cond2,Sell,94,0.932,55.3,0.213,-0.948,61.7,-0.254
배터리,cond3,Buy,20,-1.118,40.0,-0.721,-1.649,40.0,-1.176
배터리,cond3,Neutral,6,4.348,33.3,0.972,0.916,33.3,0.267
배터리,cond3,Sell,82,1.333,52.4,0.286,-0.676,58.5,-0.17
배터리,cond4,Buy,18,-1.92,38.9,-0.987,-2.745,33.3,-2.261
배터리,cond4,Neutral,4,5.605,50.0,1.068,3.111,50.0,0.68
배터리,cond4,Sell,86,1.455,52.3,0.321,-0.535,58.1,-0.138
배터리,cond4_no_reports,Buy,14,0.304,42.9,0.108,-1.255,35.7,-0.534
배터리,cond4_no_reports,Neutral,0,,,,,,
배터리,cond4_no_reports,Sell,94,1.157,53.2,0.262,-0.695,58.5,-0.186
자동차,cond1,Buy,2,-0.881,0.0,-41.54,-2.51,0.0,-4.51
자동차,cond1,Neutral,70,2.525,62.9,1.268,0.481,57.1,0.234
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,30,1.964,60.0,1.072,0.652,56.7,0.317
자동차,cond2,Neutral,2,4.641,100.0,90.036,3.698,100.0,12.054
자동차,cond2,Sell,40,2.669,40.0,1.255,0.043,47.5,0.021
자동차,cond3,Buy,45,1.881,57.8,0.95,0.249,57.8,0.126
자동차,cond3,Neutral,3,3.107,66.7,3.053,1.733,66.7,1.246
자동차,cond3,Sell,24,3.375,33.3,1.636,0.511,50.0,0.227
자동차,cond4,Buy,42,1.518,61.9,0.825,1.008,61.9,0.482
자동차,cond4,Neutral,0,,,,,,
자동차,cond4,Sell,30,3.707,40.0,1.753,-0.456,53.3,-0.233
자동차,cond4_no_reports,Buy,25,1.547,60.0,0.778,0.339,52.0,0.152
자동차,cond4_no_reports,Neutral,0,,,,,,
자동차,cond4_no_reports,Sell,47,2.9,38.3,1.474,0.429,42.6,0.221
금융,cond1,Buy,0,,,,,,
금융,cond1,Neutral,72,2.758,66.7,1.31,0.726,50.0,0.339
금융,cond1,Sell,0,,,,,,
