Date,Open,High,Low,Close,Volume,Change
2022-12-01,52700,53500,52500,53500,1365255,1.9
2022-12-02,52900,53100,52400,52400,1288571,-2.06
2022-12-05,52500,52800,51900,52500,758045,0.19
2022-12-06,52000,52700,51600,52100,896428,-0.76
2022-12-07,52100,52100,50600,50800,1114713,-2.5
2022-12-08,50500,51200,50200,50400,2239450,-0.79
2022-12-09,50900,52900,50500,52600,2051498,4.37
2022-12-12,52500,53800,52200,53300,1370674,1.33
2022-12-13,52200,53700,52000,53300,1120037,0.0
2022-12-14,53600,53800,52500,52900,1388836,-0.75
2022-12-15,52400,52600,51600,51600,1134376,-2.46
2022-12-16,50900,52200,50600,51900,1276764,0.58
2022-12-19,51300,52600,51300,52200,692443,0.58
2022-12-20,52400,53200,52200,52900,1005281,1.34
2022-12-21,53000,53000,52100,52300,911495,-1.13
2022-12-22,51900,52700,51200,52600,843445,0.57
2022-12-23,52100,52300,51600,51600,737229,-1.9
2022-12-26,51500,51900,50700,51000,861603,-1.16
2022-12-27,51300,51800,50700,51500,1405920,0.98
2022-12-28,50000,50000,48900,49450,1098303,-3.98
2022-12-29,48950,49400,48500,48500,707932,-1.92
2023-01-02,47750,48750,47550,47600,547689,-1.86
2023-01-03,47900,49300,47300,49050,1031515,3.05
2023-01-04,48250,50700,48250,50500,1083324,2.96
2023-01-05,50600,53900,50500,53900,2515852,6.73
2023-01-06,53800,57500,53400,56700,2935706,5.19
2023-01-09,57300,57500,55900,57200,2076859,0.88
2023-01-10,56400,57900,56300,57800,1926580,1.05
2023-01-11,57700,57800,55900,56400,1804800,-2.42
2023-01-12,56100,56900,56100,56500,1818316,0.18
2023-01-13,56400,57800,55800,57400,1708096,1.59
2023-01-16,57300,60300,57200,60000,3019556,4.53
2023-01-17,60500,60700,58700,59100,1750057,-1.5
2023-01-18,58900,58900,57300,58500,1487071,-1.02
2023-01-19,57700,58400,56800,57200,1604477,-2.22
2023-01-20,56900,57700,56700,57000,1496054,-0.35
2023-01-25,57000,58700,57000,58500,1649210,2.63
2023-01-26,58000,59500,57900,58900,1352210,0.68
2023-01-27,57700,58400,57400,57700,1920720,-2.04
