Date,Open,High,Low,Close,Volume,Change
2022-12-01,74564,74768,72832,73546,513897,-0.55
2022-12-02,73851,74767,72119,73342,783180,-0.28
2022-12-05,73443,73952,69165,69879,999000,-4.72
2022-12-06,68859,70388,68758,69370,531078,-0.73
2022-12-07,68860,69470,67535,68351,506624,-1.47
2022-12-08,67841,68249,66211,67740,568951,-0.89
2022-12-09,67739,68249,66517,67537,525120,-0.3
2022-12-12,67535,69879,67026,69370,549139,2.71
2022-12-13,69675,71304,69675,70898,492016,2.2
2022-12-14,70998,71610,70184,71305,289474,0.57
2022-12-15,71406,73952,71304,72629,620580,1.86
2022-12-16,71916,73851,71407,71815,488231,-1.12
2022-12-19,72017,73443,71508,73037,428316,1.7
2022-12-20,73037,74768,72935,73649,672179,0.84
2022-12-21,74158,74361,72935,73649,381238,0.0
2022-12-22,73851,74055,72017,73037,474689,-0.83
2022-12-23,72221,73443,71202,71509,529267,-2.09
2022-12-26,71508,73342,70489,73241,480441,2.42
2022-12-27,73240,76296,72833,76195,928141,4.03
2022-12-28,75582,76397,73545,74259,692299,-2.54
2022-12-29,73952,75888,73545,74972,581093,0.96
2023-01-02,75378,77416,73851,74972,678381,0.0
2023-01-03,74972,75787,71305,72732,835625,-2.99
2023-01-04,72935,73444,70490,73139,545197,0.56
2023-01-05,73240,73750,66823,68046,1488670,-6.96
2023-01-06,67229,69471,67026,68249,518811,0.3
2023-01-09,68961,69980,68350,69268,515392,1.49
2023-01-10,69573,70795,68452,69268,499677,0.0
2023-01-11,70081,75174,69980,74972,1614920,8.23
2023-01-12,75582,80167,74971,80167,1750588,6.93
2023-01-13,80167,81898,79148,81696,1238266,1.91
2023-01-16,81491,83834,79963,82307,1218041,0.75
2023-01-17,82205,84751,81491,82409,1084615,0.12
2023-01-18,82204,82713,78028,78640,1074535,-4.57
2023-01-19,78027,79454,76500,76908,751190,-2.2
2023-01-20,76907,78028,75786,77519,710428,0.79
2023-01-25,78129,78638,75480,75991,833472,-1.97
2023-01-26,75990,79657,75685,79047,888082,4.02
2023-01-27,79250,79657,77925,78945,617044,-0.13
2023-01-30,78944,82714,77213,78538,1117910,-0.52
2023-01-31,78537,82305,77925,81899,960514,4.28
2023-02-01,82713,83426,81491,82307,756845,0.5
2023-02-02,82611,83120,80981,82001,622358,-0.37
2023-02-03,81695,83834,81083,82918,685833,1.12
2023-02-06,81797,85973,80472,84955,1047985,2.46
2023-02-07,85565,86584,83935,84955,762631,0.0
2023-02-08,85667,86381,84649,85465,436732,0.6
2023-02-09,85362,87196,85057,86178,665326,0.83
2023-02-10,85261,90659,85261,89540,1224175,3.9
2023-02-13,89844,90965,88520,89132,675364,-0.46
2023-02-14,89232,91881,88723,90659,761205,1.71
2023-02-15,90760,91474,87603,88724,635938,-2.13
2023-02-16,88622,90558,87705,89336,570376,0.69
2023-02-17,88316,90761,86687,89845,454776,0.57
2023-02-20,90149,91474,88010,89030,530364,-0.91
2023-02-21,88723,90149,88112,89437,450245,0.46
2023-02-22,88724,93002,87704,88215,1043667,-1.37
2023-02-23,88621,91065,87806,90659,493955,2.77
2023-02-24,90659,94225,90455,93920,941718,3.6
2023-02-27,94732,94732,88723,90659,1201665,-3.47
2023-02-28,91067,93613,90150,91679,680803,1.13
2023-03-02,92084,93205,89946,92595,571142,1.0
2023-03-03,92900,95650,92391,95448,723345,3.08
2023-03-06,95956,99725,95854,98198,714412,2.88
2023-03-07,98197,99929,97688,99115,475484,0.93
2023-03-08,97892,100336,97382,98096,467240,-1.03
2023-03-09,98401,99419,96975,99013,469572,0.93
2023-03-10,98197,99623,96465,97383,435307,-1.65
2023-03-13,96363,97688,93409,97383,597954,0.0
2023-03-14,97789,99418,95955,96771,591656,-0.63
2023-03-15,98503,101864,97586,101152,728402,4.53
2023-03-16,101151,101559,95752,97587,780609,-3.52
2023-03-17,98401,100947,96160,96874,813805,-0.73
2023-03-20,96465,100235,96364,97485,530331,0.63
2023-03-21,98604,99826,98196,99216,484366,1.78
2023-03-22,99725,99725,90455,92595,2113019,-6.67
2023-03-23,92594,95039,91677,93817,859789,1.32
2023-03-24,94225,94836,92188,93411,618642,-0.43
2023-03-27,93512,95243,92798,94633,580056,1.31
2023-03-28,94225,98503,94225,97078,681310,2.58
2023-03-29,97382,97484,95039,96568,378633,-0.53
2023-03-30,96975,99420,96364,98402,610725,1.9
2023-03-31,98095,101864,97993,101050,729625,2.69
2023-04-03,101761,105632,101660,104513,635888,3.43
2023-04-04,105939,112051,105836,109505,1012692,4.78
