Date,Open,High,Low,Close,Volume,Change
2022-12-01,1314267,1321626,1290719,1301022,32788,-0.34
2022-12-02,1301022,1302493,1280417,1280417,25622,-1.58
2022-12-05,1280417,1281889,1224491,1225963,62521,-4.25
2022-12-06,1214189,1250982,1214189,1233321,34204,0.6
2022-12-07,1230378,1237737,1206830,1223019,28644,-0.84
2022-12-08,1218604,1228906,1200943,1217132,56998,-0.48
2022-12-09,1227434,1228906,1199471,1217132,32439,0.0
2022-12-12,1217132,1220076,1192113,1199471,25257,-1.45
2022-12-13,1202415,1214189,1200943,1206830,18306,0.61
2022-12-14,1214189,1243624,1211245,1231850,30898,2.07
2022-12-15,1234793,1234793,1211245,1211245,17993,-1.67
2022-12-16,1196528,1231850,1193584,1228906,28060,1.46
2022-12-19,1214189,1223019,1208302,1208302,14734,-1.68
2022-12-20,1206830,1211245,1186226,1206830,24398,-0.12
2022-12-21,1212717,1215660,1193584,1203886,14103,-0.24
2022-12-22,1205358,1215660,1203886,1212717,18063,0.73
2022-12-23,1199471,1209773,1178867,1186226,30103,-2.18
2022-12-26,1189169,1214189,1189169,1209773,31056,1.99
2022-12-27,1215660,1224491,1208302,1218604,35892,0.73
2022-12-28,1208302,1231850,1208302,1221547,34229,0.24
2022-12-29,1209773,1223019,1206830,1208302,23902,-1.08
2023-01-02,1223019,1225963,1209773,1217132,22429,0.73
2023-01-03,1214189,1217132,1175923,1181810,48527,-2.9
2023-01-04,1177395,1180339,1152375,1168565,49192,-1.12
2023-01-05,1174452,1196528,1174452,1189169,34101,1.76
2023-01-06,1175923,1203886,1174452,1189169,27959,0.0
2023-01-09,1206830,1212717,1190641,1195056,32074,0.5
2023-01-10,1200943,1205358,1175923,1175923,44591,-1.6
2023-01-11,1184754,1189169,1175923,1181810,45365,0.5
2023-01-12,1189169,1202415,1186226,1193584,40959,1.0
2023-01-13,1199471,1209773,1193584,1193584,42204,0.0
2023-01-16,1193584,1199471,1186226,1187697,29119,-0.49
2023-01-17,1192113,1193584,1167093,1167093,53843,-1.73
2023-01-18,1167093,1170036,1156791,1167093,32824,0.0
2023-01-19,1167093,1180339,1161206,1178867,25865,1.01
2023-01-20,1172980,1177395,1168565,1177395,23395,-0.12
2023-01-25,1177395,1183282,1172980,1174452,31237,-0.25
2023-01-26,1174452,1177395,1161206,1170036,58376,-0.38
2023-01-27,1168565,1193584,1164149,1190641,56642,1.76
2023-01-30,1206830,1221547,1177395,1181810,83342,-0.74
2023-01-31,1183282,1184754,1165621,1167093,64292,-1.25
2023-02-01,1167093,1184754,1159734,1183282,51000,1.39
2023-02-02,1186226,1202415,1186226,1195056,43873,1.0
2023-02-03,1187697,1200943,1180339,1193584,32093,-0.12
2023-02-06,1190641,1203886,1181810,1187697,30975,-0.49
2023-02-07,1187697,1200943,1187697,1196528,30497,0.74
2023-02-08,1196528,1211245,1193584,1200943,28439,0.37
2023-02-09,1200943,1206830,1190641,1198000,28036,-0.25
2023-02-10,1190641,1193584,1180339,1189169,23447,-0.74
2023-02-13,1189169,1192113,1178867,1187697,21266,-0.12
