Date,Open,High,Low,Close,Volume,Change
2022-12-01,69000,69300,68300,68600,1086698,0.0
2022-12-02,68700,68800,66400,66500,1451053,-3.06
2022-12-05,66800,66900,65200,65600,1148365,-1.35
2022-12-06,65200,65600,65000,65100,825203,-0.76
2022-12-07,65000,65400,64700,65000,743679,-0.15
2022-12-08,65200,65300,64500,64700,1271219,-0.46
2022-12-09,65100,65500,64700,65200,1011844,0.77
2022-12-12,65100,65600,65000,65100,687218,-0.15
2022-12-13,65300,65500,62100,62500,3121687,-3.99
2022-12-14,62200,64100,61800,64100,1960769,2.56
2022-12-15,63800,64800,63500,64100,878566,0.0
2022-12-16,63200,64400,63100,64100,1126438,0.0
2022-12-19,63700,63800,62000,62400,1296891,-2.65
2022-12-20,62000,62500,60900,62400,1458403,0.0
2022-12-21,62600,62700,61600,62000,810736,-0.64
2022-12-22,62000,63500,62000,63500,1004592,2.42
2022-12-23,62600,63300,62500,62700,772642,-1.26
2022-12-26,63100,63900,62700,63700,856734,1.59
2022-12-27,64000,64300,63500,64100,1200679,0.63
2022-12-28,62100,62100,60800,60900,1834051,-4.99
2022-12-29,60500,60600,59300,59300,1172767,-2.63
2023-01-02,60600,62400,60500,61500,1548935,3.71
2023-01-03,61400,62500,60600,62400,1238318,1.46
2023-01-04,61500,62800,61500,62000,1051604,-0.64
2023-01-05,61900,62200,60800,61100,1591393,-1.45
2023-01-06,60500,62100,60100,61500,1687827,0.65
2023-01-09,61800,64300,61300,64100,2081818,4.23
2023-01-10,64100,64400,63100,63900,920688,-0.31
2023-01-11,64400,64400,63300,64200,947231,0.47
2023-01-12,64600,64700,63900,63900,1374463,-0.47
2023-01-13,64100,65800,64100,65300,1611359,2.19
2023-01-16,64300,65000,63500,64600,1202348,-1.07
2023-01-17,65200,65500,64700,65000,1127634,0.62
2023-01-18,65100,65300,63900,64700,1044133,-0.46
2023-01-19,64000,64500,63800,64300,644579,-0.62
2023-01-20,64300,64500,64000,64300,574744,0.0
2023-01-25,64900,65400,64800,65000,739046,1.09
2023-01-26,65400,70000,65400,69300,4288992,6.62
2023-01-27,69900,70000,67600,68700,3718257,-0.87
2023-01-30,69300,70200,68500,68600,2368164,-0.15
2023-01-31,69200,69200,66800,66800,1938157,-2.62
2023-02-01,67700,69600,67400,69500,1858058,4.04
2023-02-02,69900,70500,69000,69700,1930702,0.29
2023-02-03,69900,71600,69700,71200,2211215,2.15
2023-02-06,70900,71600,70500,70500,1326873,-0.98
2023-02-07,70600,71300,69700,71300,1352790,1.13
2023-02-08,71700,71800,70600,71500,1154049,0.28
2023-02-09,71400,72200,70900,71700,1074569,0.28
2023-02-10,71400,72600,71100,72400,1067878,0.98
2023-02-13,72400,73400,72100,73200,1443643,1.1
2023-02-14,73500,74300,72900,73500,1151903,0.41
2023-02-15,73500,74000,72000,72600,1073567,-1.22
2023-02-16,73200,76700,73100,76500,2208024,5.37
2023-02-17,75600,76800,75500,76400,1121854,-0.13
2023-02-20,76500,76800,75600,76300,847290,-0.13
2023-02-21,76800,76900,75500,76600,800396,0.39
2023-02-22,75800,76000,74300,74500,1281613,-2.74
2023-02-23,74500,77300,74500,76400,1440318,2.55
2023-02-24,76300,77000,75200,75300,976800,-1.44
2023-02-27,75000,76200,74200,76000,961024,0.93
2023-02-28,76200,77200,75300,75300,1666461,-0.92
2023-03-02,75700,78500,75700,77800,1916651,3.32
2023-03-03,78400,79100,77400,78200,1149778,0.51
2023-03-06,78800,79300,77500,78500,1204893,0.38
2023-03-07,78500,79000,77600,77600,992331,-1.15
2023-03-08,76800,79200,76700,78900,1306974,1.68
2023-03-09,78900,79700,78100,78100,1315822,-1.01
2023-03-10,77300,78500,77300,78000,851372,-0.13
2023-03-13,77700,79200,77400,78800,1422962,1.03
2023-03-14,78500,78900,76300,76300,1366264,-3.17
2023-03-15,77600,80000,77500,79600,1755601,4.33
2023-03-16,78500,79900,77900,79100,1099113,-0.63
2023-03-17,79700,80400,78600,80200,1454231,1.39
2023-03-20,80000,80000,77900,78000,997524,-2.74
2023-03-21,78700,79300,77400,77700,969220,-0.38
2023-03-22,78700,79100,77900,78900,967219,1.54
2023-03-23,77700,78600,77400,78400,1361870,-0.63
2023-03-24,77900,78400,76200,77600,1261980,-1.02
2023-03-27,77000,77000,75100,76000,1635935,-2.06
2023-03-28,76500,76900,76200,76900,792849,1.18
2023-03-29,77600,79500,77500,79500,1500632,3.38
2023-03-30,78600,79900,78200,79400,1033563,-0.13
2023-03-31,80100,81500,79800,81000,1577792,2.02
2023-04-03,81500,81600,80400,81200,807758,0.25
2023-04-04,80600,81700,79700,80100,1009704,-1.35
2023-04-05,80200,81800,80100,81300,1013013,1.5
2023-04-06,82000,83000,81000,81000,1364098,-0.37
2023-04-07,80600,81500,80000,80100,1128013,-1.11
2023-04-10,80200,82000,79500,81000,1009786,1.12
2023-04-11,81000,85500,81000,85000,3307242,4.94
2023-04-12,86200,86500,84100,86100,2437920,1.29
2023-04-13,85600,86600,85000,86600,1305756,0.58
2023-04-14,86900,87000,85000,85300,1163781,-1.5
2023-04-17,85100,85300,84200,84500,1161544,-0.94
2023-04-18,83600,83600,81000,82700,2125174,-2.13
2023-04-19,82800,85900,82300,85400,1758223,3.26
2023-04-20,84400,85200,83600,84100,1200517,-1.52
