Date,Open,High,Low,Close,Volume,Change
2022-12-01,721547,725463,709799,710778,159313,-0.41
2022-12-02,706861,713714,702945,702945,128168,-1.1
2022-12-05,702945,704903,680427,682386,224683,-2.92
2022-12-06,670637,696092,666721,691197,216571,1.29
2022-12-07,691196,700008,685322,693155,177069,0.28
2022-12-08,694134,700987,678470,678470,302444,-2.12
2022-12-09,676511,678469,631476,631476,438701,-6.93
2022-12-12,624622,643224,618748,636371,315352,0.78
2022-12-13,641266,650077,625601,629518,204333,-1.08
2022-12-14,634413,654973,634413,653015,226335,3.73
2022-12-15,647140,658889,644203,651057,201969,-0.3
2022-12-16,640287,653015,634413,653015,275818,0.3
2022-12-19,644203,645182,628538,633434,204083,-3.0
2022-12-20,632455,640287,624622,631476,132021,-0.31
2022-12-21,632455,632455,614832,620707,169223,-1.71
2022-12-22,623644,630497,617769,623644,172633,0.47
2022-12-23,612874,614832,601125,608958,208502,-2.35
2022-12-26,605041,613853,605041,610916,127298,0.32
2022-12-27,614832,620706,604062,610916,182691,0.0
2022-12-28,604063,608958,587419,590357,244018,-3.37
2022-12-29,591335,593293,578608,578608,202002,-1.99
2023-01-02,584481,603083,584481,589377,145145,1.86
2023-01-03,600147,605042,583503,592315,208134,0.5
2023-01-04,583503,593294,568818,590357,228448,-0.33
2023-01-05,599167,599167,569796,570776,375301,-3.32
2023-01-06,565880,581545,561964,573713,228914,0.51
2023-01-09,579586,589377,573712,587419,232851,2.39
2023-01-10,593293,607000,591335,599168,254281,2.0
2023-01-11,605041,612874,599167,610916,220621,1.96
2023-01-12,617769,619727,608957,615811,245990,0.8
2023-01-13,615810,624622,615810,617769,159010,0.32
2023-01-16,616790,623643,608957,610916,132782,-1.11
2023-01-17,608958,610916,598188,603084,136849,-1.28
2023-01-18,607000,607000,593293,600147,132005,-0.49
2023-01-19,598189,604063,591335,597210,153595,-0.49
2023-01-20,600146,607000,595251,606021,155343,1.48
2023-01-25,621685,638329,618748,635392,259466,4.85
2023-01-26,644203,661826,630497,657910,285639,3.54
2023-01-27,665741,674553,653993,672595,270394,2.23
2023-01-30,679448,679448,665741,672595,328815,0.0
2023-01-31,682385,689238,667699,670637,448111,-0.29
