label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Buy,22,0.098,40.9,0.114,8.636,63.6,1.958,-0.697,45.5,-0.803,7.011,59.1,1.596,75.0,0.0
cond1,Neutral,608,0.937,53.8,1.068,2.81,55.3,0.763,0.188,47.9,0.242,0.771,45.9,0.223,55.0,0.0
cond1,Sell,90,2.218,42.2,1.952,3.855,50.0,0.854,1.783,45.6,1.802,2.297,45.6,0.578,75.0,0.0
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,58.1,7.3
cond2,Buy,159,1.566,57.2,1.665,3.583,59.7,0.985,0.931,54.7,1.065,2.044,50.3,0.61,73.8,3.3
cond2,Neutral,86,0.34,50.0,0.456,2.66,53.5,0.99,-0.178,39.5,-0.281,1.041,53.5,0.431,56.9,3.7
cond2,Sell,475,1.038,45.3,1.113,3.047,45.7,0.75,0.266,51.8,0.326,0.874,54.7,0.23,70.7,4.9
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,69.8,6.7
cond3,Buy,328,0.71,54.0,0.821,2.555,54.3,0.75,0.196,48.5,0.252,0.73,48.2,0.229,75.0,2.6
cond3,Neutral,67,-0.091,46.3,-0.126,2.059,53.7,0.766,-0.624,37.3,-0.985,0.168,47.8,0.071,59.0,4.4
cond3,Sell,325,1.675,43.4,1.695,3.907,43.7,0.891,0.729,48.9,0.835,1.782,53.5,0.435,71.9,4.6
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,72.1,5.9
cond4,Buy,320,0.77,53.8,0.948,2.939,55.6,0.843,0.057,46.6,0.078,1.029,47.5,0.308,75.3,1.8
cond4,Neutral,19,1.053,52.6,1.378,3.269,52.6,0.959,0.343,47.4,0.535,1.939,52.6,0.702,56.6,3.4
cond4,Sell,381,1.325,45.1,1.327,3.263,45.1,0.792,0.615,49.6,0.7,1.217,53.0,0.321,74.5,2.3
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,74.4,3.6
cond4_no_reports,Buy,237,0.797,54.9,0.997,2.771,54.4,0.797,0.051,48.9,0.068,1.07,47.3,0.311,75.0,1.6
cond4_no_reports,Neutral,23,0.379,52.2,0.937,0.207,47.8,0.146,0.391,56.5,1.124,0.249,47.8,0.171,55.0,0.0
cond4_no_reports,Sell,460,1.247,45.7,1.266,3.444,43.9,0.846,0.518,52.0,0.604,1.24,52.6,0.335,74.2,2.7
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,73.9,4.2
