sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
IT플랫폼,cond3,Sell,37,2.496,43.2,0.785,0.512,51.4,0.188
IT플랫폼,cond4,Buy,37,-0.25,43.2,-0.091,-2.474,27.0,-1.017
IT플랫폼,cond4,Neutral,2,20.681,50.0,2.323,15.71,100.0,2.655
IT플랫폼,cond4,Sell,33,2.663,48.5,0.814,1.025,51.5,0.378
IT플랫폼,cond4_no_reports,Buy,26,-2.494,30.8,-1.227,-3.578,23.1,-1.597
IT플랫폼,cond4_no_reports,Neutral,0,,,,,,
IT플랫폼,cond4_no_reports,Sell,46,4.019,43.5,1.096,1.451,52.2,0.497
기타,cond1,Buy,16,9.385,68.8,2.056,7.58,62.5,1.711
기타,cond1,Neutral,160,2.504,49.4,0.641,0.436,40.6,0.115
기타,cond1,Sell,40,5.99,45.0,1.453,4.013,40.0,1.049
기타,cond2,Buy,44,7.025,61.4,1.401,5.426,52.3,1.148
기타,cond2,Neutral,11,2.631,45.5,0.645,0.41,54.5,0.124
기타,cond2,Sell,161,2.81,50.3,0.761,0.672,56.5,0.186
기타,cond3,Buy,112,3.642,53.6,0.862,1.584,46.4,0.389
기타,cond3,Neutral,11,-2.312,27.3,-1.049,-3.801,36.4,-1.571
기타,cond3,Sell,93,4.387,47.3,1.121,2.322,53.8,0.619
기타,cond4,Buy,97,3.91,52.6,0.882,1.495,46.4,0.35
기타,cond4,Neutral,1,-1.026,0.0,,3.202,100.0,
기타,cond4,Sell,118,3.493,48.3,0.949,1.722,55.1,0.485
기타,cond4_no_reports,Buy,64,4.392,53.1,1.013,2.295,48.4,0.529
기타,cond4_no_reports,Neutral,1,-1.026,0.0,,3.202,100.0,
기타,cond4_no_reports,Sell,151,3.38,48.3,0.866,1.334,55.6,0.362
