ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
329180,HD현대중공업,코스피,기타,cond3,Buy,20,2.894,50.0,0.927,0.483,35.0,0.152
352820,HYBE,코스피,기타,cond3,Buy,15,-0.802,40.0,-0.273,-2.046,53.3,-0.707
373220,LG에너지솔루션,코스피,배터리,cond3,Buy,11,-0.962,36.4,-0.587,-1.294,27.3,-0.829
000270,기아,코스피,자동차,cond4,Buy,24,1.663,58.3,0.871,0.723,54.2,0.327
000660,SK하이닉스,코스피,반도체,cond4,Buy,19,7.769,68.4,1.608,4.776,63.2,1.274
005380,현대차,코스피,자동차,cond4,Buy,20,1.273,60.0,0.735,0.337,60.0,0.182
005930,삼성전자,코스피,반도체,cond4,Buy,20,2.457,45.0,0.846,0.989,45.0,0.45
006400,삼성SDI,코스피,배터리,cond4,Buy,8,-1.467,50.0,-1.314,-1.873,50.0,-1.636
012450,한화에어로스페이스,코스피,기타,cond4,Buy,20,8.388,50.0,1.325,5.556,40.0,0.871
034020,두산에너빌리티,코스피,기타,cond4,Buy,14,2.957,50.0,0.521,2.44,50.0,0.496
035420,네이버,코스피,IT플랫폼,cond4,Buy,27,0.614,44.4,0.198,-1.705,33.3,-0.625
035720,카카오,코스피,IT플랫폼,cond4,Buy,10,-2.581,40.0,-2.039,-4.548,10.0,-3.537
051910,LG화학,코스피,기타,cond4,Buy,12,5.019,50.0,1.043,0.662,33.3,0.166
055550,신한지주,코스피,금융,cond4,Buy,22,2.999,63.6,1.183,1.171,50.0,0.467
068270,셀트리온,코스피,바이오,cond4,Buy,19,2.456,57.9,0.791,-0.15,47.4,-0.053
105560,KB금융,코스피,금융,cond4,Buy,20,2.147,70.0,0.957,1.282,60.0,0.497
196170,알테오젠,코스닥,바이오,cond4,Buy,12,11.435,83.3,2.346,11.199,75.0,1.889
207940,삼성바이오로직스,코스피,바이오,cond4,Buy,9,0.512,55.6,0.342,-2.241,22.2,-1.271
247540,에코프로비엠,코스닥,배터리,cond4,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond4,Buy,25,3.026,60.0,1.323,1.061,60.0,0.441
329180,HD현대중공업,코스피,기타,cond4,Buy,16,2.744,50.0,0.82,-0.582,37.5,-0.161
352820,HYBE,코스피,기타,cond4,Buy,10,-0.972,50.0,-0.289,-2.54,50.0,-0.744
373220,LG에너지솔루션,코스피,배터리,cond4,Buy,13,1.741,38.5,0.525,-0.524,30.8,-0.221
000270,기아,코스피,자동차,cond4_no_reports,Buy,18,0.865,50.0,0.422,0.001,50.0,0.0
000660,SK하이닉스,코스피,반도체,cond4_no_reports,Buy,14,6.416,64.3,1.191,3.167,57.1,0.762
005380,현대차,코스피,자동차,cond4_no_reports,Buy,11,2.367,63.6,1.402,1.395,63.6,0.814
005930,삼성전자,코스피,반도체,cond4_no_reports,Buy,13,2.362,53.8,1.072,1.248,53.8,0.689
006400,삼성SDI,코스피,배터리,cond4_no_reports,Buy,6,-1.788,50.0,-1.884,-2.047,50.0,-1.566
012450,한화에어로스페이스,코스피,기타,cond4_no_reports,Buy,21,8.497,52.4,1.374,5.691,42.9,0.909
034020,두산에너빌리티,코스피,기타,cond4_no_reports,Buy,11,-1.06,45.5,-0.542,-1.14,45.5,-0.64
035420,네이버,코스피,IT플랫폼,cond4_no_reports,Buy,18,-1.54,33.3,-0.703,-2.707,27.8,-1.083
035720,카카오,코스피,IT플랫폼,cond4_no_reports,Buy,8,-4.639,25.0,-2.943,-5.537,12.5,-3.68
051910,LG화학,코스피,기타,cond4_no_reports,Buy,4,13.482,75.0,2.684,9.084,75.0,2.465
055550,신한지주,코스피,금융,cond4_no_reports,Buy,15,3.414,73.3,1.253,1.086,46.7,0.383
068270,셀트리온,코스피,바이오,cond4_no_reports,Buy,9,3.291,55.6,0.735,-0.71,44.4,-0.172
105560,KB금융,코스피,금융,cond4_no_reports,Buy,14,2.149,71.4,0.864,1.096,64.3,0.412
196170,알테오젠,코스닥,바이오,cond4_no_reports,Buy,10,12.773,90.0,2.473,13.797,80.0,2.213
207940,삼성바이오로직스,코스피,바이오,cond4_no_reports,Buy,26,0.924,50.0,0.451,-1.204,38.5,-0.606
247540,에코프로비엠,코스닥,배터리,cond4_no_reports,Buy,1,23.284,100.0,,17.663,100.0,
259960,크래프톤,코스피,기타,cond4_no_reports,Buy,18,1.622,55.6,0.778,-0.199,55.6,-0.08
329180,HD현대중공업,코스피,기타,cond4_no_reports,Buy,9,4.59,55.6,1.164,1.64,44.4,0.363
352820,HYBE,코스피,기타,cond4_no_reports,Buy,1,-10.112,0.0,,-7.588,0.0,
373220,LG에너지솔루션,코스피,배터리,cond4_no_reports,Buy,10,0.301,30.0,0.087,-1.356,20.0,-0.507
