category,group_a,group_b,n_a,n_b,metric,metric_type,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size,effect_size_type,significance
core,cond4,cond1,325,22,return_20d,absolute,2.9214,8.6357,-5.7143,mann_whitney,2746.0,0.0688,-0.2319,cliffs_delta,.
core,cond4,cond1,325,22,return_20d,absolute,2.9214,8.6357,-5.7143,welch_ttest,-1.6801,0.1067,-0.4729,cohens_d,ns
core,cond4,cond1,325,22,excess_return_20d,excess,1.0721,7.0113,-5.9392,mann_whitney,2844.0,0.1087,-0.2045,cliffs_delta,ns
core,cond4,cond1,325,22,excess_return_20d,excess,1.0721,7.0113,-5.9392,welch_ttest,-1.7573,0.0925,-0.5237,cohens_d,.
core,cond4,GoldenCross,325,471,return_20d,absolute,2.9214,2.3741,0.5473,mann_whitney,80586.0,0.2042,0.0529,cliffs_delta,ns
core,cond4,GoldenCross,325,471,return_20d,absolute,2.9214,2.3741,0.5473,welch_ttest,0.5923,0.5538,0.0413,cohens_d,ns
core,cond4,GoldenCross,325,471,excess_return_20d,excess,1.0721,0.7982,0.2739,mann_whitney,79775.0,0.31,0.0423,cliffs_delta,ns
core,cond4,GoldenCross,325,471,excess_return_20d,excess,1.0721,0.7982,0.2739,welch_ttest,0.3234,0.7465,0.0227,cohens_d,ns
core,cond4,Consensus,325,2752,return_20d,absolute,2.9214,1.6787,1.2427,mann_whitney,488804.5,0.006,0.093,cliffs_delta,**
core,cond4,Consensus,325,2752,return_20d,absolute,2.9214,1.6787,1.2427,welch_ttest,1.7876,0.0746,0.1025,cohens_d,.
core,cond4,Consensus,325,2752,excess_return_20d,excess,1.0721,0.3535,0.7186,mann_whitney,478182.0,0.0408,0.0693,cliffs_delta,*
core,cond4,Consensus,325,2752,excess_return_20d,excess,1.0721,0.3535,0.7186,welch_ttest,1.1136,0.2661,0.0656,cohens_d,ns
auxiliary,cond2,cond1,164,22,return_20d,absolute,3.1022,8.6357,-5.5335,mann_whitney,1403.5,0.0916,-0.222,cliffs_delta,.
auxiliary,cond2,cond1,164,22,return_20d,absolute,3.1022,8.6357,-5.5335,welch_ttest,-1.5918,0.1242,-0.4301,cohens_d,ns
auxiliary,cond2,cond1,164,22,excess_return_20d,excess,1.8467,7.0113,-5.1646,mann_whitney,1476.5,0.1679,-0.1815,cliffs_delta,ns
auxiliary,cond2,cond1,164,22,excess_return_20d,excess,1.8467,7.0113,-5.1646,welch_ttest,-1.4927,0.1482,-0.4063,cohens_d,ns
auxiliary,cond3,cond1,317,22,return_20d,absolute,3.0583,8.6357,-5.5774,mann_whitney,2695.5,0.0752,-0.227,cliffs_delta,.
auxiliary,cond3,cond1,317,22,return_20d,absolute,3.0583,8.6357,-5.5774,welch_ttest,-1.6369,0.1154,-0.4471,cohens_d,ns
auxiliary,cond3,cond1,317,22,excess_return_20d,excess,1.2347,7.0113,-5.7766,mann_whitney,2793.5,0.119,-0.1989,cliffs_delta,ns
auxiliary,cond3,cond1,317,22,excess_return_20d,excess,1.2347,7.0113,-5.7766,welch_ttest,-1.7054,0.1018,-0.4864,cohens_d,ns
auxiliary,cond4,cond4_no_reports,325,186,return_20d,absolute,2.9214,2.291,0.6304,mann_whitney,31213.5,0.5384,0.0327,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,325,186,return_20d,absolute,2.9214,2.291,0.6304,welch_ttest,0.5983,0.55,0.0543,cohens_d,ns
auxiliary,cond4,cond4_no_reports,325,186,excess_return_20d,excess,1.0721,0.8451,0.227,mann_whitney,30565.5,0.8323,0.0113,cliffs_delta,ns
auxiliary,cond4,cond4_no_reports,325,186,excess_return_20d,excess,1.0721,0.8451,0.227,welch_ttest,0.224,0.8229,0.0206,cohens_d,ns
