ticker,name,signal_date,avg_target,cur_price,gap_pct,return_pct,excess_return_pct
005930,삼성전자,2023-01-06,75333.0,59000,27.68,3.95,-1.72
005930,삼성전자,2023-01-09,73333.0,60700,20.81,4.3,-1.23
005930,삼성전자,2023-01-09,70667.0,60700,16.42,4.3,-1.23
005930,삼성전자,2023-01-09,75667.0,60700,24.66,4.3,-1.23
005930,삼성전자,2023-01-09,77667.0,60700,27.95,4.3,-1.23
005930,삼성전자,2023-01-09,82667.0,60700,36.19,4.3,-1.23
005930,삼성전자,2023-01-09,77000.0,60700,26.85,4.3,-1.23
005930,삼성전자,2023-01-09,78333.0,60700,29.05,4.3,-1.23
005930,삼성전자,2023-01-16,76667.0,61100,25.48,4.43,0.39
005930,삼성전자,2023-02-01,78333.0,61800,26.75,-4.72,-3.23
005930,삼성전자,2023-02-01,76000.0,61800,22.98,-4.72,-3.23
005930,삼성전자,2023-02-01,81000.0,61800,31.07,-4.72,-3.23
005930,삼성전자,2023-02-01,79000.0,61800,27.83,-4.72,-3.23
005930,삼성전자,2023-02-01,75667.0,61800,22.44,-4.72,-3.23
005930,삼성전자,2023-02-01,72333.0,61800,17.04,-4.72,-3.23
005930,삼성전자,2023-02-01,75667.0,61800,22.44,-4.72,-3.23
005930,삼성전자,2023-02-03,80667.0,63800,26.44,-1.46,-2.49
005930,삼성전자,2023-02-03,80667.0,63800,26.44,-1.46,-2.49
005930,삼성전자,2023-03-08,77667.0,60300,28.8,3.66,2.0
005930,삼성전자,2023-03-14,75000.0,59000,27.12,10.37,3.19
005930,삼성전자,2023-03-15,75000.0,59800,25.42,10.35,2.62
005930,삼성전자,2023-03-20,75667.0,60200,25.69,8.79,1.14
005930,삼성전자,2023-03-23,79000.0,62300,26.81,4.29,-1.07
005930,삼성전자,2023-03-29,78333.0,62700,24.93,2.22,0.48
005930,삼성전자,2023-03-30,80000.0,63200,26.58,2.34,1.35
005930,삼성전자,2023-04-10,79333.0,65700,20.75,-2.58,-0.35
005930,삼성전자,2023-04-10,80000.0,65700,21.77,-2.58,-0.35
005930,삼성전자,2023-04-10,79333.0,65700,20.75,-2.58,-0.35
005930,삼성전자,2023-04-10,79333.0,65700,20.75,-2.58,-0.35
005930,삼성전자,2023-04-10,80467.0,65700,22.48,-2.58,-0.35
005930,삼성전자,2023-04-10,80467.0,65700,22.48,-2.58,-0.35
005930,삼성전자,2023-04-10,81133.0,65700,23.49,-2.58,-0.35
005930,삼성전자,2023-04-28,79333.0,65500,21.12,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65500,22.14,7.91,6.14
005930,삼성전자,2023-04-28,79333.0,65500,21.12,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65500,22.14,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65500,22.14,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65500,22.14,7.91,6.14
005930,삼성전자,2023-04-28,80667.0,65500,23.16,7.91,6.14
005930,삼성전자,2023-04-28,82000.0,65500,25.19,7.91,6.14
005930,삼성전자,2023-04-28,85333.0,65500,30.28,7.91,6.14
005930,삼성전자,2023-04-28,85333.0,65500,30.28,7.91,6.14
005930,삼성전자,2023-05-03,84667.0,65400,29.46,10.14,5.56
005930,삼성전자,2023-05-31,84667.0,71400,18.58,1.83,2.02
005930,삼성전자,2023-06-29,84000.0,72400,16.02,-2.22,-3.93
005930,삼성전자,2023-07-03,86667.0,73000,18.72,-2.6,-5.45
005930,삼성전자,2023-07-10,86667.0,69500,24.7,-5.45,-5.9
005930,삼성전자,2023-07-10,86000.0,69500,23.74,-5.45,-5.9
005930,삼성전자,2023-07-10,86000.0,69500,23.74,-5.45,-5.9
005930,삼성전자,2023-07-10,87667.0,69500,26.14,-5.45,-5.9
005930,삼성전자,2023-07-10,90333.0,69500,29.98,-5.45,-5.9
