strategy,n,mean_ret,hit_rate,sharpe
컨센서스,1206,3.785,53.9,1.09
골든크로스,2860,5.375,57.0,1.223
cond1 (종목명),723,3.132,55.0,0.8
cond2 (재무지표),723,3.132,55.0,0.8
cond3 (재무+리포트),723,3.132,55.0,0.8
cond4 (재무+리포트+DART),725,3.164,55.2,0.809
