ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
000270,기아,코스피,자동차,cond4,Buy,30,2.124,56.7,1.097,0.866,53.3,0.393
000660,SK하이닉스,코스피,반도체,cond4,Buy,27,8.268,74.1,1.879,5.835,70.4,1.672
005380,현대차,코스피,자동차,cond4,Buy,19,3.348,63.2,1.786,2.059,68.4,1.358
005930,삼성전자,코스피,반도체,cond4,Buy,21,2.53,52.4,0.975,0.786,47.6,0.388
006400,삼성SDI,코스피,배터리,cond4,Buy,7,-0.711,57.1,-0.646,-1.458,42.9,-1.357
012450,한화에어로스페이스,코스피,기타,cond4,Buy,11,12.634,63.6,1.648,10.592,54.5,1.432
034020,두산에너빌리티,코스피,기타,cond4,Buy,4,-0.989,25.0,-0.463,-3.607,25.0,-2.013
035420,네이버,코스피,IT플랫폼,cond4,Buy,25,1.618,48.0,0.53,-0.844,36.0,-0.314
035720,카카오,코스피,IT플랫폼,cond4,Buy,4,-4.181,25.0,-4.638,-5.331,0.0,-8.768
051910,LG화학,코스피,기타,cond4,Buy,10,7.287,50.0,1.464,2.93,40.0,0.762
055550,신한지주,코스피,금융,cond4,Buy,18,1.557,55.6,0.693,0.237,50.0,0.109
068270,셀트리온,코스피,바이오,cond4,Buy,13,5.316,69.2,1.735,0.629,46.2,0.202
105560,KB금융,코스피,금융,cond4,Buy,19,1.333,68.4,0.548,-0.862,47.4,-0.336
196170,알테오젠,코스닥,바이오,cond4,Buy,7,5.402,71.4,1.881,2.498,57.1,0.843
207940,삼성바이오로직스,코스피,바이오,cond4,Buy,2,1.79,100.0,123.991,-6.25,0.0,-124.739
247540,에코프로비엠,코스닥,배터리,cond4,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond4,Buy,22,2.217,54.5,0.909,0.26,59.1,0.105
329180,HD현대중공업,코스피,기타,cond4,Buy,10,3.516,50.0,1.016,1.017,30.0,0.258
352820,HYBE,코스피,기타,cond4,Buy,7,-2.282,42.9,-1.391,-4.094,28.6,-2.464
373220,LG에너지솔루션,코스피,배터리,cond4,Buy,6,-1.009,16.7,-0.352,-3.986,16.7,-2.882
000270,기아,코스피,자동차,cond4_no_reports,Buy,19,1.362,42.1,0.734,0.203,47.4,0.108
000660,SK하이닉스,코스피,반도체,cond4_no_reports,Buy,12,8.727,75.0,2.195,4.786,66.7,1.494
005380,현대차,코스피,자동차,cond4_no_reports,Buy,4,5.431,100.0,7.3,3.939,75.0,3.393
005930,삼성전자,코스피,반도체,cond4_no_reports,Buy,13,0.377,46.2,0.146,-0.2,38.5,-0.094
006400,삼성SDI,코스피,배터리,cond4_no_reports,Buy,2,-0.001,50.0,-0.001,2.007,100.0,3.19
012450,한화에어로스페이스,코스피,기타,cond4_no_reports,Buy,3,22.337,100.0,2.849,20.679,100.0,2.578
034020,두산에너빌리티,코스피,기타,cond4_no_reports,Buy,3,-1.234,33.3,-0.473,-3.768,33.3,-1.72
035420,네이버,코스피,IT플랫폼,cond4_no_reports,Buy,16,0.115,37.5,0.034,-1.53,31.2,-0.578
035720,카카오,코스피,IT플랫폼,cond4_no_reports,Buy,3,-7.738,0.0,-8.38,-6.341,0.0,-7.389
051910,LG화학,코스피,기타,cond4_no_reports,Buy,4,10.908,50.0,1.913,5.159,50.0,1.114
055550,신한지주,코스피,금융,cond4_no_reports,Buy,4,6.016,100.0,3.107,3.576,75.0,4.367
068270,셀트리온,코스피,바이오,cond4_no_reports,Buy,4,12.346,75.0,2.802,7.63,50.0,1.721
105560,KB금융,코스피,금융,cond4_no_reports,Buy,6,4.945,83.3,2.502,2.274,66.7,0.85
196170,알테오젠,코스닥,바이오,cond4_no_reports,Buy,1,15.032,100.0,,12.283,100.0,
207940,삼성바이오로직스,코스피,바이오,cond4_no_reports,Buy,3,5.99,66.7,1.583,-1.486,33.3,-0.672
247540,에코프로비엠,코스닥,배터리,cond4_no_reports,Buy,0,,,,,,
259960,크래프톤,코스피,기타,cond4_no_reports,Buy,12,3.518,75.0,1.778,1.494,75.0,0.603
329180,HD현대중공업,코스피,기타,cond4_no_reports,Buy,1,34.038,100.0,,36.365,100.0,
352820,HYBE,코스피,기타,cond4_no_reports,Buy,2,3.096,50.0,2.311,-1.797,50.0,-1.492
373220,LG에너지솔루션,코스피,배터리,cond4_no_reports,Buy,3,-2.643,33.3,-2.285,-5.164,0.0,-7.196
