sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
반도체,cond1,Buy,0,,,,,,
반도체,cond1,Neutral,72,5.168,65.3,1.523,3.136,58.3,1.2
반도체,cond1,Sell,0,,,,,,
반도체,cond2,Buy,14,6.833,64.3,1.998,3.23,57.1,1.318
반도체,cond2,Neutral,22,5.565,72.7,1.935,3.352,54.5,1.4
반도체,cond2,Sell,36,4.278,38.9,1.148,2.968,38.9,1.038
반도체,cond3,Buy,43,4.335,60.5,1.218,2.104,55.8,0.771
반도체,cond3,Neutral,19,7.81,73.7,2.138,5.595,57.9,2.012
반도체,cond3,Sell,10,3.734,30.0,1.996,2.905,30.0,1.922
반도체,cond4,Buy,48,5.758,64.6,1.526,3.626,60.4,1.209
반도체,cond4,Neutral,15,5.538,80.0,2.046,3.85,66.7,2.3
반도체,cond4,Sell,9,1.406,55.6,0.675,-0.665,66.7,-0.556
반도체,cond4_no_reports,Buy,25,4.385,60.0,1.266,2.193,52.0,0.802
반도체,cond4_no_reports,Neutral,19,8.619,78.9,1.937,4.874,63.2,1.412
반도체,cond4_no_reports,Sell,28,3.526,39.3,1.503,2.8,39.3,1.582
바이오,cond1,Buy,0,,,,,,
바이오,cond1,Neutral,108,4.413,57.4,0.852,2.599,48.1,0.508
바이오,cond1,Sell,0,,,,,,
바이오,cond2,Buy,1,8.746,100.0,,0.544,100.0,
바이오,cond2,Neutral,18,5.311,61.1,1.497,4.025,55.6,1.269
바이오,cond2,Sell,89,4.183,41.6,0.762,2.334,53.9,0.427
바이오,cond3,Buy,19,4.956,63.2,1.612,1.473,52.6,0.475
바이오,cond3,Neutral,20,0.963,50.0,0.421,0.187,45.0,0.08
바이오,cond3,Sell,69,5.264,39.1,0.855,3.608,52.2,0.594
바이오,cond4,Buy,22,5.023,72.7,1.798,0.598,45.5,0.205
바이오,cond4,Neutral,26,4.926,61.5,1.394,4.799,57.7,1.146
바이오,cond4,Sell,60,3.967,48.3,0.623,2.379,55.0,0.393
바이오,cond4_no_reports,Buy,8,10.298,75.0,2.804,4.793,50.0,1.374
바이오,cond4_no_reports,Neutral,39,3.402,59.0,1.04,1.679,48.7,0.433
바이오,cond4_no_reports,Sell,61,4.288,44.3,0.686,2.9,52.5,0.486
배터리,cond1,Buy,0,,,,,,
배터리,cond1,Neutral,108,1.046,44.4,0.247,-0.768,40.7,-0.214
배터리,cond1,Sell,0,,,,,,
배터리,cond2,Buy,2,6.493,50.0,1.897,4.839,100.0,2.753
배터리,cond2,Neutral,20,2.639,50.0,0.61,0.715,50.0,0.174
배터리,cond2,Sell,86,0.549,55.8,0.129,-1.243,62.8,-0.355
배터리,cond3,Buy,16,2.531,37.5,0.556,1.797,43.8,0.423
배터리,cond3,Neutral,24,-3.584,29.2,-1.17,-5.744,20.8,-2.062
배터리,cond3,Sell,68,2.331,47.1,0.522,0.385,52.9,0.107
배터리,cond4,Buy,13,-0.849,38.5,-0.423,-2.625,30.8,-2.135
배터리,cond4,Neutral,27,0.564,40.7,0.132,-0.411,37.0,-0.106
배터리,cond4,Sell,68,1.6,52.9,0.352,-0.555,55.9,-0.146
배터리,cond4_no_reports,Buy,5,-1.586,40.0,-1.579,-2.296,40.0,-1.826
배터리,cond4_no_reports,Neutral,15,4.357,40.0,0.816,2.338,40.0,0.482
배터리,cond4_no_reports,Sell,88,0.631,53.4,0.152,-1.211,59.1,-0.352
자동차,cond1,Buy,0,,,,,,
자동차,cond1,Neutral,72,2.43,61.1,1.234,0.398,55.6,0.196
자동차,cond1,Sell,0,,,,,,
자동차,cond2,Buy,29,3.47,69.0,2.332,0.945,55.2,0.606
자동차,cond2,Neutral,41,2.186,58.5,0.998,0.424,58.5,0.187
자동차,cond2,Sell,2,-7.635,100.0,-4.777,-8.055,100.0,-2.693
자동차,cond3,Buy,49,2.152,59.2,1.102,0.082,53.1,0.042
자동차,cond3,Neutral,22,3.056,63.6,1.467,0.877,59.1,0.382
자동차,cond3,Sell,1,2.273,0.0,,5.349,0.0,
자동차,cond4,Buy,49,2.598,59.2,1.367,1.329,59.2,0.68
자동차,cond4,Neutral,18,2.245,66.7,0.992,-2.228,44.4,-0.983
자동차,cond4,Sell,5,1.446,40.0,0.77,0.733,40.0,0.469
자동차,cond4_no_reports,Buy,23,2.069,52.2,1.177,0.852,52.2,0.475
자동차,cond4_no_reports,Neutral,39,3.32,69.2,1.586,1.523,66.7,0.713
자동차,cond4_no_reports,Sell,10,-0.21,50.0,-0.11,-5.033,80.0,-3.222
금융,cond1,Buy,0,,,,,,
금융,cond1,Neutral,72,2.758,66.7,1.31,0.726,50.0,0.339
금융,cond1,Sell,0,,,,,,
