cond,total_n,mean,hit_rate,sharpe,Buy_n,Buy_mean,Buy_hit_rate,Neutral_n,Neutral_mean,Neutral_hit_rate,Sell_n,Sell_mean,Sell_hit_rate
cond1,720,3.12,54.9,0.796,515,3.51,57.3,205,2.13,48.8,0,,
cond2,720,3.12,54.9,0.796,248,2.42,52.4,456,3.64,56.1,16,-1.03,56.2
