ticker,name,market,sector,cond,signal_filter,n_buy,buy_mean_20d,buy_hit_rate_20d,buy_sharpe_20d,buy_excess_mean_20d,buy_excess_hit_rate_20d,buy_excess_sharpe_20d
247540,에코프로비엠,코스닥,배터리,cond3,Buy,5,14.085,60.0,1.923,12.304,60.0,1.815
259960,크래프톤,코스피,기타,cond3,Buy,28,2.233,57.1,0.911,-0.134,57.1,-0.045
329180,HD현대중공업,코스피,기타,cond3,Buy,24,3.78,50.0,1.069,1.277,37.5,0.336
352820,HYBE,코스피,기타,cond3,Buy,27,-0.28,44.4,-0.099,-1.786,44.4,-0.675
373220,LG에너지솔루션,코스피,배터리,cond3,Buy,14,-1.503,28.6,-0.934,-1.505,28.6,-1.008
000270,기아,코스피,자동차,cond4,Buy,34,2.261,58.8,1.177,0.386,52.9,0.176
000660,SK하이닉스,코스피,반도체,cond4,Buy,29,8.157,72.4,1.866,5.56,69.0,1.634
005380,현대차,코스피,자동차,cond4,Buy,26,1.823,61.5,0.895,1.058,65.4,0.579
005930,삼성전자,코스피,반도체,cond4,Buy,25,3.021,52.0,1.07,0.892,48.0,0.439
006400,삼성SDI,코스피,배터리,cond4,Buy,19,-2.877,36.8,-1.231,-3.658,31.6,-2.353
012450,한화에어로스페이스,코스피,기타,cond4,Buy,35,8.799,62.9,1.682,6.767,57.1,1.286
034020,두산에너빌리티,코스피,기타,cond4,Buy,22,4.814,59.1,0.909,2.541,45.5,0.56
035420,네이버,코스피,IT플랫폼,cond4,Buy,30,0.104,40.0,0.035,-1.802,33.3,-0.694
035720,카카오,코스피,IT플랫폼,cond4,Buy,12,1.793,50.0,0.434,-1.369,16.7,-0.429
051910,LG화학,코스피,기타,cond4,Buy,14,-0.994,35.7,-0.271,-2.799,21.4,-0.884
055550,신한지주,코스피,금융,cond4,Buy,16,1.325,50.0,0.508,-0.683,43.8,-0.289
068270,셀트리온,코스피,바이오,cond4,Buy,23,1.644,52.2,0.549,-0.027,47.8,-0.01
105560,KB금융,코스피,금융,cond4,Buy,22,2.828,72.7,1.288,0.438,54.5,0.176
196170,알테오젠,코스닥,바이오,cond4,Buy,26,3.275,61.5,0.935,1.766,50.0,0.53
207940,삼성바이오로직스,코스피,바이오,cond4,Buy,7,-1.747,42.9,-1.155,-2.127,14.3,-1.223
247540,에코프로비엠,코스닥,배터리,cond4,Buy,1,59.737,100.0,,54.793,100.0,
259960,크래프톤,코스피,기타,cond4,Buy,29,1.799,55.2,0.721,-0.407,55.2,-0.138
329180,HD현대중공업,코스피,기타,cond4,Buy,24,6.87,58.3,1.716,4.618,50.0,1.058
352820,HYBE,코스피,기타,cond4,Buy,25,-1.565,40.0,-0.562,-2.466,40.0,-0.956
373220,LG에너지솔루션,코스피,배터리,cond4,Buy,14,-1.288,35.7,-0.755,-1.64,28.6,-1.017
000270,기아,코스피,자동차,cond4_no_reports,Buy,31,2.059,58.1,1.04,1.094,61.3,0.486
000660,SK하이닉스,코스피,반도체,cond4_no_reports,Buy,10,14.674,60.0,2.546,8.117,60.0,1.812
005380,현대차,코스피,자동차,cond4_no_reports,Buy,12,0.741,58.3,0.348,-0.189,58.3,-0.084
005930,삼성전자,코스피,반도체,cond4_no_reports,Buy,6,3.04,33.3,1.069,0.12,33.3,0.059
006400,삼성SDI,코스피,배터리,cond4_no_reports,Buy,15,-2.6,46.7,-0.996,-3.523,33.3,-2.163
012450,한화에어로스페이스,코스피,기타,cond4_no_reports,Buy,35,8.76,62.9,1.676,6.628,57.1,1.267
034020,두산에너빌리티,코스피,기타,cond4_no_reports,Buy,16,2.568,56.2,0.686,0.914,50.0,0.313
035420,네이버,코스피,IT플랫폼,cond4_no_reports,Buy,9,-4.658,11.1,-3.957,-5.671,0.0,-5.248
035720,카카오,코스피,IT플랫폼,cond4_no_reports,Buy,2,3.586,50.0,0.999,2.899,50.0,1.065
051910,LG화학,코스피,기타,cond4_no_reports,Buy,2,-0.978,50.0,-0.494,1.306,50.0,0.785
055550,신한지주,코스피,금융,cond4_no_reports,Buy,6,3.962,66.7,2.01,-0.735,33.3,-0.323
068270,셀트리온,코스피,바이오,cond4_no_reports,Buy,4,-0.472,75.0,-0.111,-3.48,75.0,-1.26
105560,KB금융,코스피,금융,cond4_no_reports,Buy,13,3.956,76.9,1.757,0.699,61.5,0.276
196170,알테오젠,코스닥,바이오,cond4_no_reports,Buy,19,2.871,57.9,0.762,2.283,57.9,0.652
207940,삼성바이오로직스,코스피,바이오,cond4_no_reports,Buy,22,0.521,45.5,0.239,-0.787,36.4,-0.38
247540,에코프로비엠,코스닥,배터리,cond4_no_reports,Buy,4,1.52,50.0,0.287,-1.128,50.0,-0.211
259960,크래프톤,코스피,기타,cond4_no_reports,Buy,15,-0.738,33.3,-0.251,-4.507,33.3,-1.292
329180,HD현대중공업,코스피,기타,cond4_no_reports,Buy,13,6.129,61.5,1.494,4.674,46.2,1.063
352820,HYBE,코스피,기타,cond4_no_reports,Buy,9,-1.747,33.3,-0.987,-1.984,55.6,-1.227
373220,LG에너지솔루션,코스피,배터리,cond4_no_reports,Buy,7,-2.285,42.9,-1.068,-1.294,42.9,-0.604
