sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
IT플랫폼,cond1,Sell,0,,,,,,
IT플랫폼,cond2,Buy,15,-4.489,13.3,-2.626,-4.93,6.7,-3.332
IT플랫폼,cond2,Neutral,57,3.287,56.1,0.953,0.836,47.4,0.286
IT플랫폼,cond2,Sell,0,,,,,,
IT플랫폼,cond3,Buy,48,0.994,45.8,0.306,-1.392,31.2,-0.505
IT플랫폼,cond3,Neutral,24,3.013,50.0,0.893,1.689,54.2,0.616
IT플랫폼,cond3,Sell,0,,,,,,
IT플랫폼,cond4,Buy,42,0.587,42.9,0.177,-1.679,28.6,-0.613
IT플랫폼,cond4,Neutral,30,3.179,53.3,0.98,1.474,53.3,0.534
IT플랫폼,cond4,Sell,0,,,,,,
IT플랫폼,cond4_no_reports,Buy,11,-3.159,18.2,-1.744,-4.113,9.1,-2.536
IT플랫폼,cond4_no_reports,Neutral,60,2.561,51.7,0.74,0.273,43.3,0.094
IT플랫폼,cond4_no_reports,Sell,1,1.102,0.0,,2.569,0.0,
기타,cond1,Buy,108,6.283,58.3,1.387,4.251,50.9,0.966
기타,cond1,Neutral,108,1.035,45.4,0.314,-0.997,40.7,-0.321
기타,cond1,Sell,0,,,,,,
기타,cond2,Buy,74,4.665,52.7,0.964,2.434,41.9,0.526
기타,cond2,Neutral,141,3.091,51.1,0.873,1.23,48.2,0.358
기타,cond2,Sell,1,9.309,0.0,,-1.968,100.0,
기타,cond3,Buy,146,3.573,53.4,0.895,1.28,46.6,0.328
기타,cond3,Neutral,68,3.803,47.1,0.914,2.407,44.1,0.618
기타,cond3,Sell,2,5.088,0.0,3.026,0.472,50.0,0.485
기타,cond4,Buy,149,3.878,53.7,0.924,1.953,47.7,0.475
기타,cond4,Neutral,63,2.98,46.0,0.838,0.805,41.3,0.241
기타,cond4,Sell,4,6.189,25.0,1.196,2.465,50.0,0.827
기타,cond4_no_reports,Buy,90,4.429,53.3,1.04,2.495,50.0,0.586
기타,cond4_no_reports,Neutral,118,2.972,50.0,0.769,1.118,43.2,0.307
기타,cond4_no_reports,Sell,8,5.141,37.5,1.334,-0.614,62.5,-0.221
