ticker,name,signal_date,avg_target,cur_price,gap_pct,return_pct,excess_return_pct
005930,삼성전자,2023-01-06,75333.0,60700,24.11,3.95,-1.72
005930,삼성전자,2023-01-09,73333.0,60400,21.41,4.3,-1.23
005930,삼성전자,2023-01-09,70667.0,60400,17.0,4.3,-1.23
005930,삼성전자,2023-01-09,75667.0,60400,25.28,4.3,-1.23
005930,삼성전자,2023-01-09,77667.0,60400,28.59,4.3,-1.23
005930,삼성전자,2023-01-09,82667.0,60400,36.87,4.3,-1.23
005930,삼성전자,2023-01-09,77000.0,60400,27.48,4.3,-1.23
005930,삼성전자,2023-01-09,78333.0,60400,29.69,4.3,-1.23
005930,삼성전자,2023-01-16,76667.0,61000,25.68,4.43,0.39
005930,삼성전자,2023-02-01,78333.0,63500,23.36,-4.72,-3.23
005930,삼성전자,2023-02-01,76000.0,63500,19.69,-4.72,-3.23
005930,삼성전자,2023-02-01,81000.0,63500,27.56,-4.72,-3.23
005930,삼성전자,2023-02-01,79000.0,63500,24.41,-4.72,-3.23
005930,삼성전자,2023-02-01,75667.0,63500,19.16,-4.72,-3.23
005930,삼성전자,2023-02-01,72333.0,63500,13.91,-4.72,-3.23
005930,삼성전자,2023-02-01,75667.0,63500,19.16,-4.72,-3.23
005930,삼성전자,2023-02-03,80667.0,61600,30.95,-1.46,-2.49
005930,삼성전자,2023-02-03,80667.0,61600,30.95,-1.46,-2.49
005930,삼성전자,2023-03-08,77667.0,60100,29.23,3.66,2.0
005930,삼성전자,2023-03-14,75000.0,59800,25.42,10.37,3.19
005930,삼성전자,2023-03-15,75000.0,59900,25.21,10.35,2.62
005930,삼성전자,2023-03-20,75667.0,60300,25.48,8.79,1.14
005930,삼성전자,2023-03-23,79000.0,63000,25.4,4.29,-1.07
005930,삼성전자,2023-03-29,78333.0,63200,23.95,2.22,0.48
005930,삼성전자,2023-03-30,80000.0,64000,25.0,2.34,1.35
005930,삼성전자,2023-04-10,79333.0,65900,20.38,-2.58,-0.35
005930,삼성전자,2023-04-10,80000.0,65900,21.4,-2.58,-0.35
005930,삼성전자,2023-04-10,79333.0,65900,20.38,-2.58,-0.35
005930,삼성전자,2023-04-10,79333.0,65900,20.38,-2.58,-0.35
005930,삼성전자,2023-04-10,80467.0,65900,22.1,-2.58,-0.35
005930,삼성전자,2023-04-10,80467.0,65900,22.1,-2.58,-0.35
005930,삼성전자,2023-04-10,81133.0,65900,23.12,-2.58,-0.35
005930,삼성전자,2023-04-28,79333.0,65700,20.75,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65700,21.77,7.91,6.14
005930,삼성전자,2023-04-28,79333.0,65700,20.75,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65700,21.77,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65700,21.77,7.91,6.14
005930,삼성전자,2023-04-28,80000.0,65700,21.77,7.91,6.14
005930,삼성전자,2023-04-28,80667.0,65700,22.78,7.91,6.14
005930,삼성전자,2023-04-28,82000.0,65700,24.81,7.91,6.14
005930,삼성전자,2023-04-28,85333.0,65700,29.88,7.91,6.14
005930,삼성전자,2023-04-28,85333.0,65700,29.88,7.91,6.14
005930,삼성전자,2023-05-03,84667.0,65100,30.06,10.14,5.56
005930,삼성전자,2023-05-31,84667.0,70900,19.42,1.83,2.02
005930,삼성전자,2023-06-29,84000.0,72200,16.34,-2.22,-3.93
005930,삼성전자,2023-07-03,86667.0,73000,18.72,-2.6,-5.45
005930,삼성전자,2023-07-10,86667.0,71500,21.21,-5.45,-5.9
005930,삼성전자,2023-07-10,86000.0,71500,20.28,-5.45,-5.9
005930,삼성전자,2023-07-10,86000.0,71500,20.28,-5.45,-5.9
005930,삼성전자,2023-07-10,87667.0,71500,22.61,-5.45,-5.9
005930,삼성전자,2023-07-10,90333.0,71500,26.34,-5.45,-5.9
005930,삼성전자,2023-07-10,90333.0,71500,26.34,-5.45,-5.9
005930,삼성전자,2023-07-28,90333.0,69800,29.42,-4.3,-1.24
005930,삼성전자,2023-07-28,91667.0,69800,31.33,-4.3,-1.24
005930,삼성전자,2023-07-28,93333.0,69800,33.72,-4.3,-1.24
005930,삼성전자,2023-07-28,91667.0,69800,31.33,-4.3,-1.24
005930,삼성전자,2023-07-28,93000.0,69800,33.24,-4.3,-1.24
005930,삼성전자,2023-07-28,93000.0,69800,33.24,-4.3,-1.24
005930,삼성전자,2023-07-28,93000.0,69800,33.24,-4.3,-1.24
005930,삼성전자,2023-07-28,90000.0,69800,28.94,-4.3,-1.24
005930,삼성전자,2023-07-31,87333.0,71100,22.83,-5.63,-1.66
005930,삼성전자,2023-07-31,87333.0,71100,22.83,-5.63,-1.66
005930,삼성전자,2023-09-06,89000.0,70400,26.42,-2.13,0.56
005930,삼성전자,2023-09-15,90000.0,70200,28.21,-2.56,5.89
005930,삼성전자,2023-09-19,90000.0,69600,29.31,-2.3,5.38
005930,삼성전자,2023-09-19,90000.0,69600,29.31,-2.3,5.38
005930,삼성전자,2023-09-26,91667.0,68400,34.02,0.29,6.93
005930,삼성전자,2023-09-27,93333.0,67500,38.27,3.26,5.86
005930,삼성전자,2023-10-04,96667.0,66700,44.93,4.35,5.81
005930,삼성전자,2023-10-10,95000.0,68200,39.3,2.49,3.65
