sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
IT플랫폼,cond2,Buy,0,,,,,,
IT플랫폼,cond2,Neutral,22,1.311,45.5,0.4,0.64,45.5,0.21
IT플랫폼,cond2,Sell,50,1.824,52.0,0.55,-0.807,64.0,-0.304
IT플랫폼,cond3,Buy,25,0.582,44.0,0.182,-2.002,32.0,-0.727
IT플랫폼,cond3,Neutral,34,1.663,44.1,0.482,0.24,35.3,0.082
IT플랫폼,cond3,Sell,13,3.765,38.5,1.187,1.203,38.5,0.494
IT플랫폼,cond4,Buy,5,5.27,40.0,1.057,2.821,40.0,0.84
IT플랫폼,cond4,Neutral,45,1.091,44.4,0.349,-1.216,31.1,-0.43
IT플랫폼,cond4,Sell,22,2.026,45.5,0.615,0.651,45.5,0.255
IT플랫폼,cond4_no_reports,Buy,0,,,,,,
IT플랫폼,cond4_no_reports,Neutral,34,0.317,41.2,0.107,-0.75,38.2,-0.278
IT플랫폼,cond4_no_reports,Sell,38,2.874,47.4,0.809,-0.021,60.5,-0.007
기타,cond1,Buy,0,,,,,,
기타,cond1,Neutral,119,2.314,48.7,0.658,0.295,41.2,0.084
기타,cond1,Sell,0,,,,,,
기타,cond2,Buy,0,,,,,,
기타,cond2,Neutral,45,4.14,48.9,1.091,0.718,42.2,0.198
기타,cond2,Sell,171,3.533,47.4,0.864,1.867,53.2,0.474
기타,cond3,Buy,32,1.183,43.8,0.419,-1.46,40.6,-0.533
기타,cond3,Neutral,104,3.308,51.0,0.86,1.413,46.2,0.386
기타,cond3,Sell,80,5.106,43.8,1.108,3.141,52.5,0.704
기타,cond4,Buy,2,1.453,50.0,1.05,-0.935,50.0,-0.462
기타,cond4,Neutral,92,4.008,51.1,1.028,1.71,45.7,0.461
기타,cond4,Sell,122,3.432,47.5,0.826,1.607,54.1,0.399
기타,cond4_no_reports,Buy,0,,,,,,
기타,cond4_no_reports,Neutral,23,6.463,60.9,1.46,3.862,56.5,0.953
기타,cond4_no_reports,Sell,193,3.325,49.2,0.837,1.361,55.4,0.353
