sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
금융,cond4_no_reports,Sell,12,2.762,25.0,2.111,-0.15,58.3,-0.147
IT플랫폼,cond1,Buy,0,,,,,,
IT플랫폼,cond1,Neutral,72,1.667,47.2,0.508,-0.365,38.9,-0.132
IT플랫폼,cond1,Sell,0,,,,,,
IT플랫폼,cond2,Buy,9,-2.698,22.2,-1.319,-3.199,11.1,-1.994
IT플랫폼,cond2,Neutral,13,3.449,46.2,0.806,2.024,38.5,0.582
IT플랫폼,cond2,Sell,50,1.989,48.0,0.627,-0.476,56.0,-0.174
IT플랫폼,cond3,Buy,21,0.371,38.1,0.123,-2.112,23.8,-0.874
IT플랫폼,cond3,Neutral,25,-1.139,32.0,-0.348,-1.832,24.0,-0.622
IT플랫폼,cond3,Sell,26,5.412,30.8,1.627,2.457,34.6,0.887
IT플랫폼,cond4,Buy,30,0.497,43.3,0.175,-1.183,30.0,-0.469
IT플랫폼,cond4,Neutral,24,0.384,41.7,0.131,-0.974,37.5,-0.361
IT플랫폼,cond4,Sell,18,5.327,38.9,1.255,1.81,44.4,0.553
IT플랫폼,cond4_no_reports,Buy,20,-0.79,35.0,-0.256,-1.796,30.0,-0.72
IT플랫폼,cond4_no_reports,Neutral,28,1.492,46.4,0.524,0.168,42.9,0.059
IT플랫폼,cond4_no_reports,Sell,24,3.918,41.7,1.011,0.207,58.3,0.069
기타,cond1,Buy,0,,,,,,
기타,cond1,Neutral,216,3.659,51.9,0.91,1.627,45.8,0.42
기타,cond1,Sell,0,,,,,,
기타,cond2,Buy,10,2.125,60.0,0.736,0.326,50.0,0.128
기타,cond2,Neutral,63,1.845,46.0,0.563,0.147,46.0,0.048
기타,cond2,Sell,143,4.566,46.2,1.046,2.37,54.5,0.557
기타,cond3,Buy,58,2.578,48.3,0.662,0.665,48.3,0.176
기타,cond3,Neutral,62,5.038,56.5,1.257,2.186,48.4,0.549
기타,cond3,Sell,96,3.422,49.0,0.83,1.848,57.3,0.475
기타,cond4,Buy,62,4.185,53.2,1.024,1.923,48.4,0.499
기타,cond4,Neutral,57,3.278,52.6,0.973,1.093,47.4,0.297
기타,cond4,Sell,97,3.547,49.5,0.815,1.752,56.7,0.435
기타,cond4_no_reports,Buy,22,3.647,59.1,1.098,0.79,59.1,0.263
기타,cond4_no_reports,Neutral,56,4.079,55.4,1.133,1.992,48.2,0.561
기타,cond4_no_reports,Sell,138,3.491,50.7,0.812,1.613,57.2,0.39
