sector,cond,signal,n,mean,hit_rate,sharpe,mean_excess,hit_rate_excess,sharpe_excess
금융,cond4_no_reports,Sell,21,3.405,38.1,1.696,-0.22,47.6,-0.124
IT플랫폼,cond1,Buy,0,,,,,,
IT플랫폼,cond1,Neutral,72,1.667,47.2,0.508,-0.365,38.9,-0.132
IT플랫폼,cond1,Sell,0,,,,,,
IT플랫폼,cond2,Buy,2,-3.971,0.0,-8.79,-2.204,0.0,-6.449
IT플랫폼,cond2,Neutral,35,0.773,42.9,0.273,-0.311,37.1,-0.124
IT플랫폼,cond2,Sell,35,2.883,45.7,0.767,-0.313,57.1,-0.101
IT플랫폼,cond3,Buy,8,-3.076,25.0,-1.985,-3.25,12.5,-3.082
IT플랫폼,cond3,Neutral,50,1.995,48.0,0.592,-0.36,38.0,-0.123
IT플랫폼,cond3,Sell,14,3.205,42.9,0.877,1.265,42.9,0.438
IT플랫폼,cond4,Buy,18,3.281,50.0,0.993,1.837,44.4,0.692
IT플랫폼,cond4,Neutral,47,0.698,44.7,0.23,-1.652,34.0,-0.608
IT플랫폼,cond4,Sell,7,4.02,42.9,0.822,2.61,42.9,0.788
IT플랫폼,cond4_no_reports,Buy,7,-3.941,14.3,-2.988,-4.389,0.0,-4.727
IT플랫폼,cond4_no_reports,Neutral,50,1.653,52.0,0.571,-0.417,42.0,-0.155
IT플랫폼,cond4_no_reports,Sell,15,4.329,53.3,0.91,1.688,53.3,0.487
기타,cond1,Buy,0,,,,,,
기타,cond1,Neutral,216,3.659,51.9,0.91,1.627,45.8,0.42
기타,cond1,Sell,0,,,,,,
기타,cond2,Buy,5,6.034,60.0,1.692,2.246,60.0,0.721
기타,cond2,Neutral,108,2.795,50.9,0.79,1.424,49.1,0.408
기타,cond2,Sell,103,4.45,47.6,0.987,1.81,58.3,0.421
기타,cond3,Buy,16,4.559,68.8,1.765,1.249,62.5,0.493
기타,cond3,Neutral,122,3.713,50.0,0.944,1.962,47.5,0.51
기타,cond3,Sell,78,3.39,48.7,0.768,1.182,60.3,0.284
기타,cond4,Buy,25,1.927,48.0,0.657,-0.962,44.0,-0.345
기타,cond4,Neutral,125,4.189,55.2,1.014,2.603,50.4,0.654
기타,cond4,Sell,66,3.311,53.0,0.79,0.761,62.1,0.189
기타,cond4_no_reports,Buy,6,5.488,66.7,1.614,3.637,66.7,1.223
기타,cond4_no_reports,Neutral,109,3.524,53.2,1.001,1.788,50.5,0.522
기타,cond4_no_reports,Sell,101,3.697,50.5,0.811,1.334,60.4,0.305
